[4/1/2025 4:49:52 PM] Orders: 81, Refunds: 14
[4/1/2025 4:50:16 PM] Orders: 81, Refunds: 14
[4/1/2025 4:54:19 PM] Orders: 82, Refunds: 14
[4/1/2025 4:56:07 PM] Orders: 82, Refunds: 14
[4/1/2025 5:13:28 PM] Orders: 82, Refunds: 14
[4/1/2025 5:15:09 PM] Orders: 82, Refunds: 14
[4/1/2025 5:17:39 PM] Orders: 82, Refunds: 14
[4/1/2025 5:18:05 PM] Orders: 82, Refunds: 14
[4/1/2025 5:19:40 PM] Orders: 82, Refunds: 14
[4/1/2025 5:19:52 PM] Orders: 82, Refunds: 14
[4/1/2025 5:20:13 PM] Orders: 83, Refunds: 14
[4/1/2025 5:20:18 PM] Orders: 83, Refunds: 14
[4/1/2025 5:26:24 PM] Orders: 83, Refunds: 14
[4/1/2025 5:27:19 PM] Orders: 84, Refunds: 14
[4/1/2025 5:28:42 PM] Orders: 84, Refunds: 14
[4/1/2025 5:32:28 PM] Orders: 84, Refunds: 14
[4/1/2025 5:33:07 PM] Orders: 84, Refunds: 14
[4/1/2025 5:42:32 PM] Orders: 84, Refunds: 14
[4/1/2025 5:55:08 PM] Orders: 84, Refunds: 14
[4/1/2025 5:59:08 PM] Orders: 84, Refunds: 14
[4/1/2025 6:09:37 PM] Orders: 84, Refunds: 14
[4/1/2025 6:19:48 PM] Orders: 84, Refunds: 14
[4/1/2025 6:19:54 PM] Orders: 84, Refunds: 14
[4/1/2025 6:19:58 PM] Orders: 84, Refunds: 14
[4/2/2025 10:54:53 PM] Orders: 110, Refunds: 16
[4/2/2025 10:55:20 PM] Orders: 110, Refunds: 16
[4/2/2025 10:55:27 PM] Orders: 110, Refunds: 16
[4/2/2025 10:55:38 PM] Orders: 110, Refunds: 16
[4/2/2025 10:57:54 PM] Orders: 110, Refunds: 16
[4/2/2025 10:58:12 PM] Orders: 110, Refunds: 16
[4/2/2025 10:58:15 PM] Orders: 110, Refunds: 16
[4/2/2025 10:58:33 PM] Orders: 110, Refunds: 16
[4/2/2025 11:09:02 PM] Orders: 110, Refunds: 16
[4/2/2025 11:27:12 PM] Orders: 110, Refunds: 16
[4/2/2025 11:31:44 PM] Orders: 110, Refunds: 16
[4/2/2025 11:34:30 PM] Orders: 110, Refunds: 16
[4/3/2025 1:25:31 AM] Orders: 110, Refunds: 16
[4/3/2025 1:45:55 AM] Orders: 110, Refunds: 16
[4/3/2025 1:49:25 AM] Orders: 110, Refunds: 16
[4/3/2025 2:09:53 AM] Orders: 110, Refunds: 16
[4/3/2025 2:12:24 AM] Orders: 110, Refunds: 16
[4/3/2025 2:29:18 AM] Orders: 110, Refunds: 16
[4/3/2025 2:50:08 AM] Orders: 110, Refunds: 16
[3/4/2025 11:37:46 AM] Orders: 112, Refunds: 17
[3/4/2025 12:02:33 PM] Orders: 113, Refunds: 17
